,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,# unique markers (of 43),# multi-copy,Taxonomy,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,Reference length,GC (%),Reference GC (%),N50,NG50,N75,NG75,L50,LG50,L75,LG75,# misassemblies,# misassembled contigs,Misassembled contigs length,# local misassemblies,# scaffold gap ext. mis.,# scaffold gap loc. mis.,# unaligned mis. contigs,# unaligned contigs,Unaligned length,Genome fraction (%),Duplication ratio,# N's per 100 kbp,# mismatches per 100 kbp,# indels per 100 kbp,# genomic features,Largest alignment,Total aligned length,NA50,NGA50,NA75,NGA75,LA50,LGA50,LA75,LGA75,status,superkingdom,phylum,class,order,family,genus,species,strain,sample_id
43B_Day7_4_S127_L002,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,4,3,2,2,2,1,5053619,5053199,5051539,5051539,5051539,5011503,3,5011503,5053199,5062596,50.60,50.60,5011503,5011503,5011503,5011503,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.814,1.000,0.00,0.38,0.02,0 + 0 part,5011503,5053199,5011503,5011503,5011503,5011503,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Day7_4_S127_L002.fasta
43B_Day7_5_S135_L002,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,67,35,28,23,18,13,5019810,5009748,4990865,4955466,4862506,4684324,39,1185431,5012568,5062596,50.57,50.60,396565,396565,269109,269109,4,4,7,7,0,0,0,0,0,0,0,0 + 0 part,0,99.012,1.000,0.00,0.06,0.00,0 + 0 part,1185431,5012568,396565,396565,269109,269109,4,4,7,7,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Day7_5_S135_L002.fasta
43B_Day7_6_S143_L002,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,65,33,26,21,17,12,5020659,5010659,4991776,4956440,4887891,4709709,37,1185431,5013479,5062596,50.57,50.60,396565,396565,347638,347638,4,4,7,7,0,0,0,0,0,0,0,0 + 0 part,0,99.03,1.000,0.00,0.14,0.00,0 + 0 part,1185431,5013479,396565,396565,347638,347638,4,4,7,7,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Day7_6_S143_L002.fasta
43B_Day7_7_S151_L002,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,63,33,26,21,17,12,5020380,5010805,4991922,4956439,4887840,4709658,37,1185430,5013625,5062596,50.57,50.60,396565,396565,347638,347638,4,4,7,7,0,0,0,0,0,0,0,0 + 0 part,0,99.033,1.000,0.00,0.36,0.02,0 + 0 part,1185430,5013625,396565,396565,347638,347638,4,4,7,7,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Day7_7_S151_L002.fasta
43B_Day7_8_S159_L002,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.22,0.00,0 + 0 part,5011504,5061756,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Day7_8_S159_L002.fasta
43B_Day7_9_S167_L002,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.12,0.00,0 + 0 part,5011504,5061756,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Day7_9_S167_L002.fasta
43B_Month3_10_S79,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,11,7,3,2,2,1,5061927,5061086,5048883,5040327,5040327,5011497,7,5011497,5061086,5062596,50.60,50.60,5011497,5011497,5011497,5011497,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.97,1.000,0.00,0.59,0.04,0 + 0 part,5011497,5061086,5011497,5011497,5011497,5011497,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_10_S79.fasta
43B_Month3_11_S87,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062144,5061724,5060064,5051508,5051508,5011472,4,5011472,5061724,5062596,50.60,50.60,5011472,5011472,5011472,5011472,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.63,0.04,0 + 0 part,5011472,5061724,5011472,5011472,5011472,5011472,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_11_S87.fasta
43B_Month3_12_S95,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062158,5061738,5060078,5051522,5051522,5011486,4,5011486,5061738,5062596,50.60,50.60,5011486,5011486,5011486,5011486,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.28,0.02,0 + 0 part,5011486,5061738,5011486,5011486,5011486,5011486,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_12_S95.fasta
43B_Month3_13_S8,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,8,5,4,2,2,1,5062050,5061325,5059665,5044601,5044601,5011504,5,5011504,5061325,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.975,1.000,0.00,1.01,0.00,0 + 0 part,5011504,5061325,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_13_S8.fasta
43B_Month3_14_S16,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.38,0.00,0 + 0 part,5011504,5061756,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_14_S16.fasta
43B_Month3_15_S24,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.12,0.00,0 + 0 part,5011504,5061756,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_15_S24.fasta
43B_Month3_16_S32,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,10,7,3,2,2,1,5062050,5061325,5048945,5040389,5040389,5011504,7,5011504,5061325,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.969,1.000,0.00,0.26,0.00,0 + 0 part,5011208,5061029,5011208,5011208,5011208,5011208,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_16_S32.fasta
43B_Month3_17_S40,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,8,5,4,2,2,1,5062050,5061325,5059665,5044601,5044601,5011504,5,5011504,5061325,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.975,1.000,0.00,0.45,0.00,0 + 0 part,5011504,5061325,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_17_S40.fasta
43B_Month3_18_S48,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.978,1.000,0.00,0.18,0.00,0 + 0 part,5011208,5061460,5011208,5011208,5011208,5011208,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_18_S48.fasta
43B_Month3_19_S56,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.12,0.00,0 + 0 part,5011504,5061756,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_19_S56.fasta
43B_Month3_1_S7,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,10,7,3,2,2,1,5061751,5061036,5048833,5040277,5040277,5011447,7,5011447,5061036,5062596,50.60,50.60,5011447,5011447,5011447,5011447,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.969,1.000,0.00,0.32,0.00,0 + 0 part,5011415,5061004,5011415,5011415,5011415,5011415,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_1_S7.fasta
43B_Month3_20_S64,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,1.01,0.00,0 + 0 part,5011504,5061756,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_20_S64.fasta
43B_Month3_21_S72,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,70,34,26,20,18,12,5020236,5010393,4990417,4948573,4921353,4708785,37,1185431,5012404,5062596,50.57,50.60,747198,747198,358910,358910,3,3,6,6,0,0,0,0,0,0,0,0 + 0 part,0,99.009,1.000,0.00,0.10,0.02,0 + 0 part,1185431,5012404,747198,747198,358910,358910,3,3,6,6,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_21_S72.fasta
43B_Month3_22_S80,Bacteria,5449,104,58,0,103,1,0,0,0,100.0,0.16,0.0,42,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,100,49,35,30,25,16,5015924,5002520,4967134,4932331,4840221,4525054,57,1185431,5007482,5062596,50.57,50.60,396276,396276,172226,172226,4,4,9,9,0,0,0,0,0,0,0,0 + 0 part,0,98.908,1.000,0.00,0.14,0.02,0 + 0 part,1185431,5007421,396276,396276,172226,172226,4,4,9,9,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_22_S80.fasta
43B_Month3_23_S88,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.20,0.00,0 + 0 part,5011504,5061756,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_23_S88.fasta
43B_Month3_24_S96,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062158,5061738,5060078,5051522,5051522,5011486,4,5011486,5061738,5062596,50.60,50.60,5011486,5011486,5011486,5011486,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.10,0.02,0 + 0 part,5011486,5061738,5011486,5011486,5011486,5011486,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_24_S96.fasta
43B_Month3_2_S15,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062617,5062197,5060537,5051981,5051981,5011945,4,5011945,5062197,5062596,50.60,50.60,5011945,5011945,5011945,5011945,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.983,1.000,0.00,1.48,0.00,0 + 0 part,5011945,5062197,5011945,5011945,5011945,5011945,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_2_S15.fasta
43B_Month3_3_S23,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,11,7,3,2,2,1,5061934,5061093,5048890,5040334,5040334,5011504,7,5011504,5061093,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.97,1.000,0.00,0.32,0.00,0 + 0 part,5011504,5061093,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_3_S23.fasta
43B_Month3_4_S31,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062157,5061737,5060077,5051521,5051521,5011485,4,5011485,5061737,5062596,50.60,50.60,5011485,5011485,5011485,5011485,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,1.09,0.08,0 + 0 part,5011485,5061722,5011485,5011485,5011485,5011485,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_4_S31.fasta
43B_Month3_5_S39,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,8,5,4,2,2,1,5054918,5054193,5052533,5037469,5037469,5004372,5,5004372,5054193,5062596,50.60,50.60,5004372,5004372,5004372,5004372,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.834,1.000,0.00,1.90,0.00,0 + 0 part,5004372,5054193,5004372,5004372,5004372,5004372,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_5_S39.fasta
43B_Month3_6_S47,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,11,7,3,2,2,1,5061933,5061092,5048889,5040333,5040333,5011503,7,5011503,5061092,5062596,50.60,50.60,5011503,5011503,5011503,5011503,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.964,1.000,0.00,0.38,0.02,0 + 0 part,5011207,5060796,5011207,5011207,5011207,5011207,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_6_S47.fasta
43B_Month3_7_S55,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,8,5,4,2,2,1,5062032,5061307,5059647,5044583,5044583,5011486,5,5011486,5061307,5062596,50.60,50.60,5011486,5011486,5011486,5011486,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.975,1.000,0.00,0.87,0.02,0 + 0 part,5011486,5061307,5011486,5011486,5011486,5011486,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_7_S55.fasta
43B_Month3_8_S63,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,8,5,4,2,2,1,5062050,5061325,5059665,5044601,5044601,5011504,5,5011504,5061325,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.975,1.000,0.00,1.46,0.00,0 + 0 part,5011504,5061325,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_8_S63.fasta
43B_Month3_9_S71,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.18,0.00,0 + 0 part,5011504,5061756,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month3_9_S71.fasta
43B_Month6_10_S655,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,8,5,4,2,2,1,5062032,5061307,5059647,5044583,5044583,5011486,5,5011486,5061307,5062596,50.60,50.60,5011486,5011486,5011486,5011486,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.975,1.000,0.00,0.75,0.02,0 + 0 part,5011486,5061307,5011486,5011486,5011486,5011486,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month6_10_S655.fasta
43B_Month6_11_S663,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062158,5061738,5060078,5051522,5051522,5011486,4,5011486,5061738,5062596,50.60,50.60,5011486,5011486,5011486,5011486,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,1.07,0.02,0 + 0 part,5011486,5061738,5011486,5011486,5011486,5011486,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month6_11_S663.fasta
43B_Month6_12_S671,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,7,7,7,6,3,2,5172429,5172429,5172429,5163873,5115011,5081914,7,4976358,5172429,5062596,50.57,50.60,4976358,4976358,4976358,4976358,1,1,1,1,2,2,122728,6,0,0,0,0 + 0 part,0,99.73,1.024,0.00,2.06,0.22,0 + 0 part,4975021,5170977,4975021,4975021,4975021,4975021,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month6_12_S671.fasta
43B_Month6_13_S584,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062158,5061738,5060078,5051522,5051522,5011486,4,5011486,5061738,5062596,50.60,50.60,5011486,5011486,5011486,5011486,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.978,1.000,0.00,0.63,0.02,0 + 0 part,5011190,5061442,5011190,5011190,5011190,5011190,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month6_13_S584.fasta
43B_Month6_14_S592,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062157,5061737,5060077,5051521,5051521,5011485,4,5011485,5061737,5062596,50.60,50.60,5011485,5011485,5011485,5011485,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.978,1.000,0.00,0.43,0.04,0 + 0 part,5011189,5061441,5011189,5011189,5011189,5011189,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month6_14_S592.fasta
43B_Month6_15_S600,Bacteria,5449,104,58,0,103,1,0,0,0,100.0,0.16,0.0,42,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,89,46,33,28,23,17,5014029,5001107,4971060,4936203,4844142,4634351,55,1185431,5007050,5062596,50.57,50.60,322689,322689,198107,198107,5,5,10,10,0,0,0,0,0,0,0,0 + 0 part,0,98.903,1.000,0.00,0.44,0.02,0 + 0 part,1185431,5007050,322689,322689,198107,198107,5,5,10,10,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month6_15_S600.fasta
43B_Month6_16_S608,Bacteria,5449,104,58,0,103,1,0,0,0,100.0,0.16,0.0,42,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,92,42,29,24,19,14,5015651,5001900,4967531,4932727,4840853,4673877,50,1185431,5006888,5062596,50.57,50.60,396275,396275,215405,215405,4,4,8,8,0,0,0,2,0,0,0,0 + 0 part,0,98.894,1.000,0.00,0.14,0.00,0 + 0 part,1185431,5006592,396275,396275,215405,215405,4,4,8,8,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month6_16_S608.fasta
43B_Month6_17_S616,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,11,7,3,2,2,1,5061914,5061073,5048870,5040314,5040314,5011484,7,5011484,5061073,5062596,50.60,50.60,5011484,5011484,5011484,5011484,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.97,1.000,0.00,0.32,0.06,0 + 0 part,5011484,5061073,5011484,5011484,5011484,5011484,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,43B_Month6_17_S616.fasta
